site_id,postcode,city,region,dso_name,dso_website
150328A,1220,Wien,Wien,Wiener Netze GmbH,
150290D,1230,Wien,Wien,Wiener Netze GmbH,
150449A,1120,Wien,Wien,Wiener Netze GmbH,
130123A,1230,Wien,Wien,Wiener Netze GmbH,
130030B,1230,Wien,Wien,Wiener Netze GmbH,
140059A,1140,Wien,Wien,Wiener Netze GmbH,
120120A,1190,Wien,Wien,Wiener Netze GmbH,
120075B,1020,Wien,Wien,Wiener Netze GmbH,
600050A,9020,Klagenfurt am Wörthersee,Kärnten,"Energie Klagenfurt GmbH, KNG-Kärnten Netz GmbH",
120100A,1220,Wien,Wien,Wiener Netze GmbH,
400116A,8020,Graz,Steiermark,"E-Werk Gösting Stromversorgungs GmbH, Energienetze Steiermark GmbH, Stromnetz Graz GmbH",
150502A,1210,Wien,Wien,Wiener Netze GmbH,
640013B,9020,Klagenfurt,Kärnten,"Energie Klagenfurt GmbH, KNG-Kärnten Netz GmbH",
140013A,1140,Wien,Wien,Wiener Netze GmbH,
840474A,6020,Innsbruck,Tirol,Innsbrucker Kommunalbetriebe AG,
840102A,6380,St. Johann,Tirol,TINETZ-Tiroler Netze GmbH,
740052A,5020,Salzburg,Salzburg,Salzburg Netz GmbH,
150279B,1110,Wien,Wien,Wiener Netze GmbH,
150261A,1170,Wien,Wien,Wiener Netze GmbH,
840228A,6020,Innsbruck,Tirol,Innsbrucker Kommunalbetriebe AG,
220060C,2331,Vösendorf,Niederösterreich,"Netz Niederösterreich GmbH, Wiener Netze GmbH",
130007E,1230,Wien,Wien,Wiener Netze GmbH,
520065A,4400,Steyr,Oberösterreich,Netz Oberösterreich GmbH,
440061A,8020,Graz,Steiermark,"E-Werk Gösting Stromversorgungs GmbH, Energienetze Steiermark GmbH, Stromnetz Graz GmbH",
240010A,3106,Spratzern,Niederösterreich,no DSO found,
240601A,2331,Voesendorf,Niederösterreich,"Netz Niederösterreich GmbH, Wiener Netze GmbH",
400069B,8020,Graz,Steiermark,"E-Werk Gösting Stromversorgungs GmbH, Energienetze Steiermark GmbH, Stromnetz Graz GmbH",
130076A,1100,Wien,Wien,Wiener Netze GmbH,
840244A,6330,Kufstein,Tirol,Stadtwerke Kufstein GmbH,
140025A,1190,Wien,Wien,Wiener Netze GmbH,
840268B,6380,St. Johann in Tirol,Tirol,TINETZ-Tiroler Netze GmbH,
240078A,2333,Leopoldsdorf bei Wien,Niederösterreich,Wiener Netze GmbH,
840104A,6372,Oberndorf,Tirol,TINETZ-Tiroler Netze GmbH,
200024C,3100,St. Poelten,Niederösterreich,Netz Niederösterreich GmbH,
